version,bucket,matches,avg_predicted_confidence,observed_hit_rate,calibration_gap
original,0.3-0.4,519,0.3708358285132563,0.45664739884393063,-0.08581157033067432
original,0.4-0.5,799,0.44689721638781704,0.5018773466833542,-0.05498013029553711
original,0.5-0.6,456,0.5415639100329481,0.6403508771929824,-0.09878696716003432
original,0.6-0.7,140,0.6353478066070234,0.7142857142857143,-0.07893790767869091
original,0.7-0.8,16,0.7199139943163888,0.875,-0.1550860056836112
calibrada,0.3-0.4,370,0.37254441744124434,0.4486486486486487,-0.07610423120740434
calibrada,0.4-0.5,682,0.4480619718054672,0.47214076246334313,-0.024078790657875937
calibrada,0.5-0.6,542,0.5478679536918716,0.5996309963099631,-0.051763042618091504
calibrada,0.6-0.7,270,0.6452577048860104,0.6518518518518519,-0.006594146965841485
calibrada,0.7-0.8,66,0.732771562540822,0.7575757575757576,-0.024804195034935583
